name,max_value_by_name
matt lauer,100
kevin spacey,29
harvey weinstein,20
charlie rose,19
louis ck,16
al franken,12
garrison keillor,6
roy moore,6
russell simmons,4
brett ratner,3
danny masterson,3
george takei,3
mark halperin,3
gary goddard,2
james toback,2
john conyers,2
dustin hoffman,1
glenn thrush,1
james levine,1
jeffrey tambor,1
jeremy piven,1
john lasseter,1
nick carter,1
richard dreyfuss,1
steven seagal,1
terry richardson,1
tom sizemore,1
trent franks,1
warren moon,1
wes goodman,1
alex gilady,0
andrew kreisberg,0
andy dick,0
benjamin genocchio,0
blake farenthold,0
chris savino,0
danny jordaan,0
david guillod,0
david sweeney,0
hamilton fish,0
israel horovitz,0
jack latvala,0
jann wenner,0
jeff clemens,0
jeff hoover,0
josh besh,0
ken baker,0
kirt webster,0
knight landesman,0
leon wieseltier,0
lockhart steele,0
lorin stein,0
matt dababneh,0
matt zimmerman,0
matthew weiner,0
michael fallon,0
michael oreskes,0
rick najera,0
robert knepper,0
robert scoble,0
ruben kihuen,0
sepp blatter,0
stephen bittel,0
stephen blackwell,0
tony cornish,0
